data_type,link_id,old_link_id,tmc_corridor_name,pair,from_node_id,to_node_id,vdf_code,QVDF_plf1,QVDF_qdf1,QVDF_n1,QVDF_s1,QVDF_cp1,QVDF_cd1,QVDF_alpha1,QVDF_beta1,QVDF_plf2,QVDF_qdf2,QVDF_n2,QVDF_s2,QVDF_cp2,QVDF_cd2,QVDF_alpha2,QVDF_beta2,QVDF_plf3,QVDF_qdf3,QVDF_n3,QVDF_s3,QVDF_cp3,QVDF_cd3,QVDF_alpha3,QVDF_beta3
vdf_code,,,,,,,10100,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,10101,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,10102,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,10103,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,10104,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,10105,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,10109,0.694054738,0.480269516,1.216388274,4,0.185195097,0.979029935,0.101105468,4.470599903,1.036618271,0.16077921,1.24,4,0.24,1,0.128,4.96,0.641517445,0.389701016,1.168515694,4,0.138468065,0.973005935,0.196476274,4.394050065
vdf_code,,,,,,,20100,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20101,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20102,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20103,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20104,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20105,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20109,0.697590336,0.477835366,1.232226787,4,0.19226712,0.98436241,0.118735268,4.597418443,0.758039488,0.219865415,1.220425383,4,0.22490323,0.994596355,0.14335388,4.881701519,0.676232162,0.369695519,1.178293311,4,0.127971153,0.991290825,0.163719858,4.452038803
vdf_code,,,,,,,20200,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,20201,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,20202,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,20203,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,20204,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,20205,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,20209,0.611543264,0.545069095,1.257006182,4,0.208982314,1.013994766,0.128747489,4.302675861,0.660743092,0.252241255,1.205496912,4,0.168452518,1.014314015,0.174366095,4.554424504,0.584396674,0.42779162,1.171104701,4,0.107681555,1.001792847,0.223825547,4.189118336
vdf_code,,,,,,,30100,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30101,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30102,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30103,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30104,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30105,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30109,0.755561486,0.441173008,1.210281136,4,0.175427898,0.986865669,0.12417328,4.686997322,0.876236819,0.190207331,1.230845432,4,0.24447461,0.999553076,0.132518008,4.923381703,0.795678136,0.314197398,1.215274373,4,0.162942398,0.987876907,0.147133314,4.515195203
vdf_code,,,,,,,30200,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30201,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30202,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30203,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30204,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30205,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30209,0.687103235,0.485128459,1.338767554,4,0.183877554,1.006337176,0.150818378,4.338153797,0.782689863,0.212940878,1.210548054,4,0.20442623,1.015868676,0.155852959,4.842192432,0.584674395,0.427588419,1.213634851,4,0.136750622,1.021028257,0.187924189,4.094418405
vdf_code,,,,,,,30500,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,30501,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,30502,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,30503,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,30504,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,30505,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,30509,0.826722948,0.403198356,1.274634322,4,0.221011949,1.017875373,0.133237288,4.730456915,1.002574236,0.166238729,1.234174339,4,0.235309068,1,0.130045203,4.936697356,0.680276659,0.367497542,1.210210441,4,0.169230847,1,0.131102085,4.688669695
vdf_code,,,,,,,40100,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40101,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40102,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40103,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40104,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40105,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40109,0.779539935,0.427602639,1.199930721,4,0.179447967,0.982171951,0.146978508,4.799722869,0.931405779,0.178940984,1.242883311,4,0.235033934,1,0.12535141,4.674841033,0.872801864,0.286433852,1.21080182,4,0.165743377,0.99330518,0.158340721,4.616570443
vdf_code,,,,,,,40200,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,40201,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,40202,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,40203,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,40204,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,40205,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,40209,0.638991139,0.521655643,1.254465829,4,0.183824114,1.031027114,0.165533771,4.134876957,0.630485891,0.264346386,1.1897566,4,0.196037614,1.016125314,0.179764871,4.600539343,0.564759905,0.442665986,1.2090554,4,0.104188657,1.008654786,0.229102457,4.090887657
vdf_code,,,,,,,50100,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50101,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50102,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50103,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50104,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50105,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50109,0.814164027,0.409417909,1.213284135,4,0.204049148,0.993744743,0.129735765,4.8167801,0.69122525,0.241117735,1.212208113,4,0.206101561,0.995039748,0.148351896,4.848832478,0.76455331,0.326988317,1.198861687,4,0.179592204,0.992859335,0.153556435,4.685074826
vdf_code,,,,,,,50200,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,50201,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,50202,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,50203,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,50204,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,50205,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,50209,0.716947523,0.464934075,1.225452388,4,0.203127263,1.0073217,0.145313088,4.578755938,0.583173561,0.285792563,1.232504675,4,0.164706613,1.009604763,0.161547438,4.555963512,0.526313767,0.475001825,1.269448388,4,0.150740825,1.022299938,0.186368188,4.126298675
vdf_code,,,,,,,60100,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,60101,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,60102,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,60103,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,60104,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,60105,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,60109,0.876323891,0.380376864,1.236680091,4,0.218919727,0.994019818,0.128748864,4.591636364,0.978493253,0.170329909,1.24,4,0.24,1,0.128,4.96,0.676860848,0.369352136,1.193026455,4,0.186394182,1,0.160272727,4.772105864
vdf_code,,,,,,,all,0.727995535,0.457878266,1.241737947,4,0.196011832,0.999704605,0.133920652,4.549824952,0.78253928,0.212981854,1.223531165,4,0.214495034,1.004100177,0.146104705,4.794415807,0.65524341,0.381537603,1.203475193,4,0.148154899,0.999283092,0.176165618,4.420402543
